#P	count	tag	form
0.377	81	NOUN	-
0.028	6	CCONJ	-
0.140	30	PUNCT	-
0.112	24	ADJ	-
0.042	9	ADV	-
0.084	18	VERB	-
0.019	4	ADP	-
0.158	34	PROPN	-
0.009	2	PRON	-
0.005	1	NUM	-
0.009	2	DET	-
0.005	1	SCONJ	-
0.009	2	SYM	-
0.005	1	X	-
1.000	2	NOUN	Oyun
1.000	5	CCONJ	ve
1.000	1	NOUN	eğlence
1.000	15	PUNCT	.
1.000	1	ADJ	Ticari
1.000	1	NOUN	PC
1.000	1	NOUN	Oyunları
1.000	1	NOUN	üreten
1.000	1	NOUN	firmaların
1.000	1	ADV	pek
1.000	2	NOUN	çoğu
1.000	1	ADJ	son
1.000	1	NOUN	yıllara
1.000	1	VERB	gelinceye
1.000	1	ADP	kadar
1.000	12	PROPN	Linux
1.000	1	NOUN	sistemlere
1.000	1	ADJ	uygun
1.000	1	NOUN	oyunlar
1.000	1	VERB	üretmemişlerdir
1.000	1	PRON	Bu
1.000	1	ADV	nedenle
1.000	1	NOUN	sistemlerdeki
1.000	3	NOUN	oyun
1.000	1	NOUN	imkanları
1.000	1	VERB	oldukça
1.000	1	ADJ	sınırlı
1.000	1	VERB	kalmıştır
1.000	1	NOUN	yazılımlarının
1.000	1	NOUN	kullandığı
1.000	1	PROPN	DirectX
1.000	2	NOUN	kütüphanesi
1.000	1	NOUN	sistemlerde
1.000	1	VERB	çalışmamaktadır
1.000	1	ADP	ile
1.000	1	NOUN	çalışan
1.000	1	PROPN	OpenGL
1.000	2	ADV	ise
1.000	1	NOUN	üreticiler
1.000	2	NOUN	tarafından
1.000	1	NOUN	tercih
1.000	1	VERB	edilmemiştir
1.000	1	ADV	Ancak
1.000	1	NUM	2012
1.000	1	NOUN	yılında
1.000	1	PROPN	Steam
1.000	1	NOUN	platformunun
1.000	1	NOUN	İstemcisi
1.000	1	NOUN	sunmasıyla
1.000	1	ADV	birlikte
1.000	1	ADJ	bazı
1.000	1	ADJ	popüler
1.000	1	NOUN	oyunların
1.000	1	NOUN	sürümleri
1.000	1	NOUN	üretilmeye
1.000	1	VERB	başlanmıştır
1.000	1	ADV	Ayrıca
1.000	1	PROPN	Android
1.000	1	NOUN	işletim
1.000	1	NOUN	sistemine
1.000	1	ADJ	ait
1.000	1	NOUN	uygulama
1.000	1	NOUN	mağazasında
0.500	1	CCONJ	da
0.500	1	ADV	da
1.000	1	ADJ	geniş
1.000	2	DET	bir
1.000	1	NOUN	seçeneği
1.000	1	VERB	bulunmaktadır
1.000	1	PROPN	Toyota
1.000	10	PUNCT	,
1.000	1	PROPN	Nissan
1.000	1	PROPN	Jaguar
1.000	1	PROPN	Land
1.000	1	PROPN	Rover
1.000	1	PROPN	Ford
1.000	1	PROPN	Mazda
1.000	1	PROPN	Subaru
1.000	1	SCONJ	gibi
1.000	2	ADJ	büyük
1.000	1	NOUN	otomobil
1.000	2	NOUN	üreticileri
1.000	1	NOUN	araçlarının
1.000	1	ADJ	dijital
1.000	1	NOUN	sistemlerinde
1.000	1	ADJ	uzun
1.000	1	NOUN	zamandır
1.000	1	VERB	kullanmaktadır
1.000	1	PROPN	Automotive
1.000	1	PROPN	Grade
1.000	1	NOUN	projesi
1.000	1	NOUN	Vakfı
1.000	1	ADJ	akıllı
1.000	1	NOUN	otomobiller
1.000	1	NOUN	üretilmesi
1.000	2	ADP	için
1.000	1	VERB	yürütülmektedir
1.000	1	NOUN	teknoloji
1.000	1	ADJ	otomotiv
1.000	1	NOUN	projeye
1.000	2	NOUN	üye
1.000	1	VERB	olmuşlardır
1.000	1	NOUN	Vakfı'na
1.000	1	NOUN	kuruluşlar
1.000	1	PRON	şunlardır
1.000	1	PUNCT	;
1.000	1	PROPN	Telif
1.000	1	NOUN	hakkı
1.000	1	VERB	isimlendirme
1.000	2	PROPN	GNU
1.000	1	NOUN	yazılımı
1.000	2	PROPN	GPL
1.000	2	PUNCT	(
1.000	1	ADJ	Genel
1.000	1	ADJ	Kamu
1.000	1	NOUN	Lisansı
1.000	2	PUNCT	)
1.000	2	NOUN	altında
1.000	1	ADJ	lisanslıdır
1.000	1	NOUN	dağıtıcılarına
1.000	1	NOUN	kaynak
1.000	1	NOUN	kodu
1.000	1	ADV	ya
1.000	1	ADJ	herhangi
1.000	1	NOUN	değişikliği
1.000	1	NOUN	alıcılar
1.000	1	ADJ	aynı
1.000	1	NOUN	şartlar
1.000	1	VERB	kullanılabilir
1.000	1	NOUN	hale
1.000	1	NOUN	getirmesini
1.000	1	VERB	gerektirir
1.000	1	NOUN	Yazılım
1.000	1	NOUN	sisteminin
1.000	1	ADJ	diğer
1.000	1	NOUN	anahtar
1.000	1	NOUN	bileşenleri
1.000	1	ADJ	başka
1.000	1	NOUN	lisanslar
1.000	1	VERB	kullanabilir
1.000	1	NOUN	Örneğin
1.000	2	ADJ	birçok
1.000	1	NOUN	kütüphane
1.000	1	PROPN	LGPL'yi
1.000	1	PROPN	GPL'nin
1.000	1	ADJ	serbest
1.000	1	NOUN	versiyonunu
1.000	2	VERB	kullanır
1.000	1	NOUN	Ek
1.000	1	VERB	olarak
1.000	2	SYM	X
1.000	1	NOUN	Pencere
1.000	1	NOUN	sistemini
1.000	1	X	.org
1.000	1	NOUN	uygulamaları
1.000	1	PROPN	MIT
1.000	1	NOUN	Lisansı'nı
